L;ReR;ImR;ReT;ImT
0.05;-9.99330719147446e-05;0.00999652487027401;0.999900065559332;0.00999591908489304
0.08;-0.000583982876402708;0.0241593495795434;0.999415999559617;0.0241587378841341
0.11;-0.00198349979964386;0.0444926927049302;0.998016493070538;0.0444920845048624
0.14;-0.00523526665327804;0.0721658417676569;0.994764727409367;0.072165229627535
0.17;-0.0120916182648759;0.109295371229489;0.987908381743432;0.109294756857853
0.2;-0.0260871398728251;0.159394795117102;0.973912858672002;0.159394178488927
0.23;-0.0549032350190653;0.227791610863766;0.945096759895331;0.227790981471757
0.26;-0.116967688340206;0.321382102772715;0.883032305780026;0.321381472475578
0.29;-0.257001802660768;0.436980721249422;0.742998199934608;0.436980088309995
0.32;-0.560972781906118;0.496268703269687;0.43902722088792;0.496268084239717
0.35;-0.950225799888338;0.217478402381349;0.0497742088773346;0.21747781922493
0.38;-0.910201842536438;-0.285892061143001;0.0897981530719459;-0.285892684277664
0.41;-0.625057114280046;-0.484107850081621;0.374942886345906;-0.484108485110397
0.44;-0.420683337679465;-0.493668470074711;0.579316663638102;-0.493669093912286
0.47;-0.300423477660563;-0.45844184169265;0.699576522917835;-0.458442472332113
0.5;-0.227452755050836;-0.419186992950645;0.772547243765768;-0.41918762542649
0.53;-0.180265147358195;-0.384407825757384;0.819734853777923;-0.384408467188389
0.56;-0.147838760292286;-0.354939768764184;0.852161237115421;-0.354940399874076
0.59;-0.124394127059359;-0.330030326221852;0.875605870447372;-0.330030975160098
0.62;-0.106711785437194;-0.308746130467183;0.893288218598807;-0.308746789915136
0.65;-0.0929007235943101;-0.29029295244379;0.907099271458875;-0.290293591103725
0.68;-0.0817898095318285;-0.274043904646999;0.918210192838086;-0.27404453497711
0.71;-0.0726239009158008;-0.259517818395721;0.927376107195555;-0.259518451663278
0.74;-0.0648968717327971;-0.24634346037;0.935103135585366;-0.246344111743338
0.77;-0.0582571860505629;-0.234228789696529;0.941742818195352;-0.234229457430604
0.8;-0.05245706089199;-0.222946565820617;0.947542939947745;-0.222947219104769
0.830000000000001;-0.047315612664788;-0.212312756137927;0.952684385889631;-0.212313417525455
0.860000000000001;-0.0426925016269753;-0.202162591483212;0.957307498599218;-0.202163275684046
0.890000000000001;-0.0384875894429861;-0.19236985986661;0.961512410770194;-0.192370544545273
0.920000000000001;-0.0346204204481277;-0.182816086604296;0.965379580874691;-0.182816765634041
0.950000000000001;-0.031026000093514;-0.17338763063836;0.968973997975741;-0.173388315946377
0.980000000000001;-0.0276597720673946;-0.163995700614225;0.972340231910615;-0.163996404220455
1.01;-0.0244764616526232;-0.154522681396764;0.975523542031488;-0.154523340312234
1.04;-0.0214529661362437;-0.144888347647652;0.97854703513972;-0.144889050584106
1.07;-0.0185580231586897;-0.134957506455514;0.981441977545735;-0.134958200710006
1.1;-0.0157780395402519;-0.124615412375886;0.98422196783535;-0.124616092447778
1.13;-0.0131038991184929;-0.113719445892101;0.986896097408186;-0.113720131790206
1.16;-0.0105294049132255;-0.102070883154225;0.989470594516704;-0.102071587775676
1.19;-0.00807938957707181;-0.0895212473728477;0.991920606266349;-0.0895219559498413
1.22;-0.00576950825286329;-0.0757374904362601;0.994230491615276;-0.075738199472809
1.25;-0.00366248581539155;-0.0604072403592006;0.996337508423334;-0.0604079532730436
1.28;-0.00185765797207758;-0.0430602025698364;0.99814233760952;-0.0430609095688628
1.31;-0.000532341940603968;-0.0230659685764109;0.999467660865967;-0.0230666986977446
1.34;-1.93253430285391e-07;0.000449269438723119;0.999999798471162;0.000448569441676204
1.37;-0.000826779395758781;0.028742061274459;0.999173230344795;0.0287413658662865
1.4;-0.00407840116798146;0.0637323454333385;0.995921599910759;0.063731637517455
1.43;-0.0118563605790966;0.108239834051468;0.988143644638934;0.108239099211042
1.46;-0.028599496743275;0.166678415577153;0.971400497282502;0.166677678307518
1.49;-0.0643800152747179;0.245429044161531;0.935619978528938;0.245428306624778
1.52;-0.14379317404054;0.350880273268328;0.856206814429343;0.350879534677153
1.55;-0.326568416577339;0.468958233907444;0.673431594614234;0.468957494363806
1.58;-0.695137901714145;0.460349344270392;0.304862085673707;0.460348658680504
1.61;-0.998361588320355;0.0404444917216501;0.00163840952126377;0.0404437593466288
1.64;-0.816178873857228;-0.387337924616165;0.183821118863831;-0.387338578356055
1.67;-0.545222214390626;-0.497950381974429;0.454777778825241;-0.497951128036993
1.7;-0.373400350974612;-0.483706698891541;0.626599648967528;-0.483707439733217
1.73;-0.272283455361658;-0.445134620790567;0.727716548884367;-0.445135388157089
1.76;-0.209655985290103;-0.40706269307198;0.790344016977176;-0.407063467495419
1.79;-0.168270576789696;-0.374105999338426;0.831729424198297;-0.374106775090532
1.82;-0.139307000602418;-0.346266220895477;0.860692996130104;-0.346266992741921
1.85;-0.118044236108204;-0.322660118123685;0.881955758875038;-0.322660883717239
1.88;-0.101805185341563;-0.302391549491019;0.898194817831921;-0.302392334978748
1.91;-0.0889868772178841;-0.284724434428536;0.911013118275103;-0.284725184086413
1.94;-0.0785838174008517;-0.269087699223929;0.921416182864265;-0.269088483077485
1.97;-0.0699352587208291;-0.255037518122019;0.930064746361346;-0.255038215790476
